eid,partid,rotation,season,week,date,time,team,score,outcome,ml_perc,ml_wag,spr_perc,spr_wag,ou_perc,ou_wag,op_ml,op_spr,op_spr_odds,op_ou,op_ou_odds,8_ml,8_spr,8_spr_odds,8_ou,8_ou_odds,9_ml,9_spr,9_spr_odds,9_ou,9_ou_odds,36_ml,36_spr,36_spr_odds,36_ou,36_ou_odds,44_ml,44_spr,44_spr_odds,44_ou,44_ou_odds,82_ml,82_spr,82_spr_odds,82_ou,82_ou_odds
4765818,1523,311,2025,11,Thu 11/13,8:15 PM,N.Y. Jets,,,,,,,,,,10.5,-110.0,46.0,-110.0,,10.5,-110.0,46.0,-110.0,,,,,,,,,,,,10.5,-108.0,46.0,-108.0,410.0,10.5,-110.0,46.0,-110.0
4765818,1525,312,2025,11,,,New England,,,,,,,,,,-10.5,-110.0,46.0,-110.0,,-10.5,-110.0,46.0,-110.0,,,,,,,,,,,,-10.5,-108.0,46.0,-108.0,-699.0,-10.5,-110.0,46.0,-110.0
4765639,1537,451,2025,11,Sun 11/16,9:30 AM,Washington,,,,,,,,,,0.0,-110.0,46.0,-110.0,,-2.0,-110.0,47.0,-110.0,-195.0,-4.5,-110.0,49.5,-110.0,-250.0,-4.5,-125.0,48.5,-110.0,,-1.5,-108.0,47.0,-108.0,-226.0,-4.5,-110.0,48.5,-110.0
4765639,1524,452,2025,11,,,Miami,,,,,,,,,,0.0,-110.0,46.0,-110.0,,2.0,-110.0,47.0,-110.0,165.0,4.5,-110.0,49.5,-110.0,175.0,4.5,-105.0,48.5,-110.0,,1.5,-108.0,47.0,-108.0,172.0,4.5,-110.0,48.5,-110.0
4765819,75380,465,2025,11,Sun 11/16,1:00 PM,L.A. Chargers,,,,,,,,,,-1.0,-110.0,45.0,-110.0,,-2.0,-110.0,45.0,-110.0,,,,,,,,,,,,-1.5,-108.0,44.5,-108.0,-133.0,-2.0,-110.0,45.0,-110.0
4765819,1529,466,2025,11,,,Jacksonville,,,,,,,,,,1.0,-110.0,45.0,-110.0,,2.0,-110.0,45.0,-110.0,,,,,,,,,,,,1.5,-108.0,44.5,-108.0,100.0,2.0,-110.0,45.0,-110.0
4765820,1544,455,2025,11,Sun 11/16,1:00 PM,Tampa Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,-108.0,50.5,-108.0,199.0,6.0,-110.0,50.5,-110.0
4765820,1526,456,2025,11,,,Buffalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.0,-108.0,50.5,-108.0,-280.0,-6.0,-110.0,50.5,-110.0
4765821,1540,461,2025,11,Sun 11/16,1:00 PM,Chicago,,,,,,,,,,3.0,-115.0,47.0,-110.0,,3.0,-120.0,47.0,-110.0,,,,,,,,,,,,2.5,102.0,46.5,-108.0,117.0,3.0,-110.0,47.0,-110.0
4765821,1541,462,2025,11,,,Minnesota,,,,,,,,,,-3.0,-105.0,47.0,-110.0,,-3.0,100.0,47.0,-110.0,,,,,,,,,,,,-2.5,-118.0,46.5,-108.0,-155.0,-3.0,-110.0,47.0,-110.0
4765822,1542,453,2025,11,Sun 11/16,1:00 PM,Green Bay,,,,,,,,,,-7.0,-104.0,46.0,-110.0,,-7.0,-104.0,46.0,-110.0,,,,,,,,,,,,-7.0,-108.0,46.0,-108.0,-340.0,-7.0,-110.0,46.0,-110.0
4765822,1535,454,2025,11,,,N.Y. Giants,,,,,,,,,,7.0,-116.0,46.0,-110.0,,7.0,-116.0,46.0,-110.0,,,,,,,,,,,,7.0,-108.0,46.0,-108.0,238.0,7.0,-110.0,46.0,-110.0
4765823,1530,459,2025,11,Sun 11/16,1:00 PM,Houston,,,,,,,,,,-7.0,-110.0,38.5,-110.0,,-7.5,-105.0,38.5,-110.0,,,,,,,,,,,,-7.5,-108.0,38.0,-108.0,-461.0,-7.5,-110.0,38.0,-110.0
4765823,1528,460,2025,11,,,Tennessee,,,,,,,,,,7.0,-110.0,38.5,-110.0,,7.5,-115.0,38.5,-110.0,,,,,,,,,,,,7.5,-108.0,38.0,-108.0,300.0,7.5,-110.0,38.0,-110.0
4765824,1545,463,2025,11,Sun 11/16,1:00 PM,Carolina,,,,,,,,,,3.5,-116.0,44.5,-110.0,,3.5,-116.0,44.5,-110.0,,,,,,,,,,,,3.5,-108.0,44.0,-108.0,138.0,3.5,-110.0,44.0,-110.0
4765824,1546,464,2025,11,,,Atlanta,,,,,,,,,,-3.5,-104.0,44.5,-110.0,,-3.5,-104.0,44.5,-110.0,,,,,,,,,,,,-3.5,-108.0,44.0,-108.0,-185.0,-3.5,-110.0,44.0,-110.0
4765825,1522,457,2025,11,Sun 11/16,1:00 PM,Cincinnati,,,,,,,,,,6.5,-110.0,50.0,-110.0,,6.0,-111.0,50.0,-110.0,,,,,,,,,,,,6.0,-108.0,49.5,-108.0,204.0,6.0,-110.0,50.0,-110.0
4765825,1519,458,2025,11,,,Pittsburgh,,,,,,,,,,-6.5,-110.0,50.0,-110.0,,-6.0,-109.0,50.0,-110.0,,,,,,,,,,,,-6.0,-108.0,49.5,-108.0,-285.0,-6.0,-110.0,50.0,-110.0
4765826,1547,469,2025,11,Sun 11/16,4:05 PM,San Francisco,,,,,,,,,,-1.0,-115.0,47.0,-110.0,,-1.0,-115.0,47.5,-110.0,,,,,,,,,,,,-1.5,-108.0,47.5,-108.0,-127.0,-1.5,-110.0,47.5,-110.0
4765826,1549,470,2025,11,,,Arizona,,,,,,,,,,1.0,-105.0,47.0,-110.0,,1.0,-105.0,47.5,-110.0,,,,,,,,,,,,1.5,-108.0,47.5,-108.0,-104.0,1.5,-110.0,47.5,-110.0
4765827,1548,467,2025,11,Sun 11/16,4:05 PM,Seattle,,,,,,,,,,3.0,-110.0,47.5,-110.0,,2.5,-115.0,47.0,-110.0,,,,,,,,,,,,2.5,-108.0,47.5,-108.0,118.0,3.0,-110.0,47.5,-110.0
4765827,1550,468,2025,11,,,L.A. Rams,,,,,,,,,,-3.0,-110.0,47.5,-110.0,,-2.5,-105.0,47.0,-110.0,,,,,,,,,,,,-2.5,-108.0,47.5,-108.0,-157.0,-3.0,-110.0,47.5,-110.0
4765828,1531,473,2025,11,Sun 11/16,4:25 PM,Kansas City,,,,,,,,,,-2.5,-120.0,45.5,-110.0,,-2.5,-125.0,45.5,-110.0,,,,,,,,,,,,-3.0,102.0,45.5,-108.0,-169.0,-3.0,-110.0,45.5,-110.0
4765828,1534,474,2025,11,,,Denver,,,,,,,,,,2.5,100.0,45.5,-110.0,,2.5,105.0,45.5,-110.0,,,,,,,,,,,,3.0,-118.0,45.5,-108.0,126.0,3.0,-110.0,45.5,-110.0
4765829,1521,471,2025,11,Sun 11/16,4:25 PM,Baltimore,,,,,,,,,,-8.0,-110.0,42.0,-110.0,,-8.0,-110.0,42.0,-110.0,,,,,,,,,,,,-8.0,-108.0,42.0,-108.0,-450.0,-8.0,-110.0,42.0,-110.0
4765829,1520,472,2025,11,,,Cleveland,,,,,,,,,,8.0,-110.0,42.0,-110.0,,8.0,-110.0,42.0,-110.0,,,,,,,,,,,,8.0,-108.0,42.0,-108.0,300.0,8.0,-110.0,42.0,-110.0
4765830,1539,475,2025,11,Sun 11/16,8:20 PM,Detroit,,,,,,,,,,1.5,-105.0,48.5,-110.0,,1.5,-105.0,48.0,-110.0,,,,,,,,,,,,1.5,-108.0,48.5,-108.0,-104.0,1.5,-110.0,48.5,-110.0
4765830,1536,476,2025,11,,,Philadelphia,,,,,,,,,,-1.5,-115.0,48.5,-110.0,,-1.5,-115.0,48.0,-110.0,,,,,,,,,,,,-1.5,-108.0,48.5,-108.0,-127.0,-1.5,-110.0,48.5,-110.0
4765831,1538,477,2025,11,Mon 11/17,8:15 PM,Dallas,,,,,,,,,,-3.5,-110.0,51.0,-110.0,,-3.5,-105.0,51.0,-110.0,,,,,,,,,,,,-3.5,-108.0,51.0,-108.0,-198.0,-3.5,-110.0,51.0,-110.0
4765831,1533,478,2025,11,,,Las Vegas,,,,,,,,,,3.5,-110.0,51.0,-110.0,,3.5,-115.0,51.0,-110.0,,,,,,,,,,,,3.5,-108.0,51.0,-108.0,147.0,3.5,-110.0,51.0,-110.0
